Date,Open,High,Low,Close,Volume
2020-03-20,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,54442976103
2020-03-21,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,42494390880
2020-03-22,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,40099664740
2020-03-23,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,46491916000
2020-03-24,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,48221910672
2020-03-25,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,44590107888
2020-03-26,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,35319797642
2020-03-27,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,34585598367
2020-03-28,6467.25390625,6467.5009765625,6117.837890625,6242.19384765625,34885225901
2020-03-29,6245.62451171875,6250.46728515625,5920.0859375,5922.04296875,28373690931
2020-03-30,5925.53857421875,6517.19580078125,5903.234375,6429.841796875,37101651525
2020-03-31,6430.6064453125,6504.51513671875,6374.162109375,6438.64453125,32786468812
2020-04-01,6437.3193359375,6612.57373046875,6202.37353515625,6606.7763671875,40346426266
2020-04-02,6606.7763671875,7088.24755859375,6595.91845703125,6793.62451171875,47660646124
2020-04-03,6797.396484375,7003.220703125,6673.3359375,6733.38720703125,38976504903
2020-04-04,6738.3828125,6878.95361328125,6696.48486328125,6867.52734375,33185988584
2020-04-05,6862.53759765625,6883.4140625,6715.92919921875,6791.12939453125,29510409856
2020-04-06,6788.0498046875,7271.78125,6782.8896484375,7271.78125,46896904615
2020-04-07,7273.64404296875,7427.939453125,7136.71435546875,7176.41455078125,44243482668
2020-04-08,7179.283203125,7356.2236328125,7153.3056640625,7334.0986328125,37563249549
2020-04-09,7337.96630859375,7341.4482421875,7179.09423828125,7302.08935546875,34815139178
2020-04-10,7303.8154296875,7303.8154296875,6802.47509765625,6865.4931640625,43622840992
2020-04-11,6867.4404296875,6926.06982421875,6789.9208984375,6859.0830078125,31222085946
2020-04-12,6858.06787109375,7119.947265625,6811.078125,6971.091796875,35759567632
2020-04-13,6965.61669921875,6965.61669921875,6668.259765625,6845.03759765625,38619308647
2020-04-14,6843.28173828125,6958.55712890625,6793.8212890625,6842.427734375,34110434052
2020-04-15,6845.5615234375,6928.66455078125,6633.40283203125,6642.10986328125,32288311031
2020-04-16,6640.4541015625,7134.45068359375,6555.50439453125,7116.80419921875,46783242377
2020-04-18,7092.29150390625,7269.95654296875,7089.2470703125,7257.6650390625,32447188386
2020-04-19,7260.92236328125,7280.52197265625,7167.0546875,7189.4248046875,31311210215
2020-04-20,7186.87353515625,7240.29052734375,6835.5029296875,6881.95849609375,37747113936
2020-04-21,6879.7841796875,6934.5517578125,6834.4423828125,6880.3232421875,32589741511
2020-04-22,6879.4404296875,7145.86572265625,6867.78173828125,7117.20751953125,33249153866
2020-04-23,7121.30615234375,7491.78515625,7081.5947265625,7429.724609375,43500782316
2020-04-24,7434.181640625,7574.19580078125,7434.181640625,7550.90087890625,34636526286
2020-04-25,7550.48291015625,7641.36376953125,7521.67236328125,7569.93603515625,32941541447
2020-04-26,7570.13916015625,7700.59423828125,7561.40771484375,7679.8671875,33070154491
2020-04-27,7679.4189453125,7795.60107421875,7679.4189453125,7795.60107421875,36162144725
2020-04-28,7796.97021484375,7814.52734375,7730.806640625,7807.05859375,33187959921
2020-04-29,7806.71240234375,8871.75390625,7786.04931640625,8801.0380859375,60201052203
2020-04-30,8797.669921875,9440.650390625,8533.255859375,8658.5537109375,66964629541
2020-05-01,8672.7822265625,9048.0234375,8667.763671875,8864.7666015625,44068389997
2020-05-02,8869.0576171875,9007.1875,8811.3662109375,8988.5966796875,40134388683
2020-05-03,8983.6142578125,9167.78125,8830.9716796875,8897.46875,47101785174
2020-05-04,8895.7451171875,8956.90625,8645.0244140625,8912.654296875,45718796276
2020-05-05,8912.83203125,9062.4150390625,8856.8271484375,9003.0703125,43148462663
2020-05-06,9007.44140625,9411.4677734375,8966.7060546875,9268.76171875,49371886931
2020-05-07,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,61112700562
2020-05-08,9936.162109375,9996.7431640625,9767.1728515625,9842.666015625,51780748042
2020-05-09,9840.90625,9913.86328125,9580.64453125,9593.896484375,46566121841
2020-05-10,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,63325279337
2020-05-11,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,57119858802
2020-05-12,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,42142717533
2020-05-13,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,45558144023
2020-05-14,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,56426907637
2020-05-15,9734.291015625,9755.828125,9261.3984375,9328.197265625,48158802327
2020-05-16,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,36164766408
2020-05-17,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,40084250663
2020-05-18,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,41827139896
2020-05-19,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,39254288955
2020-05-20,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,36546239703
2020-05-21,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,39326160532
2020-05-22,9080.3349609375,9232.9365234375,9008.638671875,9182.5771484375,29810773699
2020-05-23,9185.0625,9302.501953125,9118.1083984375,9209.287109375,27727866812
2020-05-24,9212.283203125,9288.404296875,8787.2509765625,8790.3681640625,32518803300
2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,31288157264
2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,29584186947
2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,32740536902
2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,34367073114
2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,32896642044
2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,32722975141
2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,27773290299
2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,35198901068
2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,39137252109
2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,25007459262
2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,25921805072
2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,23509628646
2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,20438419222
2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,25015250846
2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,21486346312
2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,23717842783
2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,25706567601
2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,30247143440
2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,22610564515
2020-06-13,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,17564322315
2020-06-14,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,18991732746
2020-06-15,9386.03515625,9504.8603515625,8990.17578125,9450.7021484375,26699704768
2020-06-16,9454.2666015625,9579.4306640625,9400.4453125,9538.0244140625,21565537209
2020-06-17,9533.7841796875,9540.4228515625,9327.33984375,9480.2548828125,20177709879
2020-06-18,9481.5673828125,9482.7822265625,9328.3955078125,9411.8408203125,17770083003
2020-06-19,9410.2939453125,9440.8759765625,9274.2958984375,9288.0185546875,19632223107
2020-06-20,9290.9599609375,9394.9716796875,9247.3798828125,9332.3408203125,17130541557
