,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-03-15,59267.4296875,60540.9921875,53555.02734375,57523.421875,393542542227,0.05853100121021271,0.06063900142908096,0.05414300039410591,0.05723400041460991,7641462170,1854.086669921875,1889.1966552734375,1705.716064453125,1788.217041015625,164754388552
2021-03-22,57517.890625,58471.48046875,50856.5703125,55950.74609375,403128836645,0.05725900083780289,0.057732000946998596,0.04969700053334236,0.05369799956679344,5747049473,1788.3621826171875,1811.96826171875,1560.3704833984375,1691.35595703125,163726181464
2021-03-29,55947.8984375,60267.1875,55139.33984375,58758.5546875,408348561550,0.053677998483181,0.0701109990477562,0.05226900056004524,0.05740400031208992,11978153026,1691.26318359375,2152.451904296875,1683.716552734375,2093.122802734375,199331046462
2021-04-05,58760.875,61276.6640625,55604.0234375,60204.96484375,406637390979,0.05741100013256073,0.0792429968714714,0.0564350001513958,0.07464899867773056,17111651232,2093.2607421875,2196.996337890625,1945.442138671875,2157.656982421875,184033037350
2021-04-12,60175.9453125,64863.09765625,52829.53515625,56216.18359375,508118943571,0.07454399764537811,0.4377000033855438,0.06888899952173233,0.3204750120639801,173047270323,2157.36181640625,2547.5556640625,2011.766845703125,2237.136962890625,238346115303
2021-04-19,56191.5859375,57520.0546875,47159.484375,49004.25390625,444719708699,0.320466011762619,0.431751012802124,0.16366900503635406,0.2511110007762909,117448425789,2238.03271484375,2641.094970703125,2060.143798828125,2316.0595703125,285051627060
2021-04-26,49077.79296875,58448.33984375,48852.796875,56631.078125,335231529997,0.25123998522758484,0.4000290036201477,0.24802599847316742,0.37604600191116333,51655337710,2319.47802734375,2984.891845703125,2308.315185546875,2952.05615234375,220866851897
2021-05-03,56620.2734375,59464.61328125,52969.0546875,58232.31640625,458766142208,0.37363100051879883,0.7375670075416565,0.37363100051879883,0.5700700283050537,210588047462,2951.17578125,3981.259033203125,2951.17578125,3928.8447265625,344594950620
2021-05-10,58250.87109375,59519.35546875,43963.3515625,46456.05859375,483967915938,0.569687008857727,0.5896900296211243,0.35717499256134033,0.5148950219154358,98210631242,3924.413330078125,4362.3505859375,3350.95166015625,3587.506103515625,400749195286
2021-05-17,46415.8984375,46623.55859375,30681.49609375,34770.58203125,563629210102,0.5134130120277405,0.6847350001335144,0.21826699376106262,0.30807098746299744,59461468677,3581.343017578125,3587.765625,1737.46875,2109.579833984375,398441727887
2021-05-24,34700.36328125,40782.078125,33520.73828125,35678.12890625,350206489990,0.3067150115966797,0.3800100088119507,0.2817929983139038,0.3022240102291107,25897491373,2099.93603515625,2911.735595703125,2090.6396484375,2390.305419921875,278778310752
2021-05-31,35658.59375,39478.953125,34241.9453125,35862.37890625,248884892724,0.30194899439811707,0.4445900022983551,0.29433000087738037,0.3718070089817047,37662982421,2387.198486328125,2891.2548828125,2279.505126953125,2715.0927734375,206114234750
2021-06-07,35835.265625,39322.78125,31114.443359375,39097.859375,298428017340,0.3715659976005554,0.37967801094055176,0.29666000604629517,0.3243820071220398,17155737791,2713.04736328125,2845.18505859375,2265.758056640625,2508.3916015625,214989180606
2021-06-14,39016.96875,41295.26953125,33432.07421875,35698.296875,269949570053,0.32390299439430237,0.33692699670791626,0.2564670145511627,0.2809000015258789,10627230130,2508.7705078125,2639.229248046875,2049.962646484375,2246.364501953125,165998018623
2021-06-21,35641.14453125,35721.640625,28893.62109375,34649.64453125,305541799334,0.2806600034236908,0.28914499282836914,0.16465400159358978,0.2644500136375427,30935547695,2245.31787109375,2259.464111328125,1707.6005859375,1978.8946533203125,181271282626
2021-06-28,34679.12109375,36542.109375,32770.6796875,33897.046875,182420951916,0.2649179995059967,0.27494001388549805,0.23826800286769867,0.2452639937400818,9958738854,1981.386474609375,2282.989013671875,1963.615478515625,2150.040283203125,137015697875
2021-07-03,33888.45703125,34709.546875,33415.51953125,34652.8046875,25123379200,0.24593083560466766,0.2500306963920593,0.24263720214366913,0.2500306963920593,1097647104,2160.565673828125,2222.322998046875,2120.02001953125,2222.322998046875,18551371776
