,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2021-03-20,1817.522705078125,1874.708984375,1811.7286376953125,1812.6346435546875,22677674970,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222,0.05831500142812729,0.06063900142908096,0.0581200011074543,0.05896100029349327,1012934488
2021-03-21,1812.6065673828125,1823.35302734375,1764.1392822265625,1788.217041015625,22977404620,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,0.058970000594854355,0.05952100083231926,0.056797999888658524,0.05723400041460991,759592996
2021-03-22,1788.3621826171875,1811.96826171875,1674.2998046875,1691.333984375,23599296129,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974,0.05725900083780289,0.057732000946998596,0.05490899831056595,0.054962001740932465,696918565
2021-03-23,1690.871826171875,1725.1087646484375,1662.5399169921875,1678.650146484375,21998237965,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914,0.054940998554229736,0.056081000715494156,0.0529399998486042,0.05355599895119667,1040781777
2021-03-24,1678.0025634765625,1740.42822265625,1570.7879638671875,1593.4134521484375,31228051473,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787,0.05352799966931343,0.05649400129914284,0.051242001354694366,0.051702000200748444,934537959
2021-03-25,1593.123291015625,1625.9114990234375,1560.3704833984375,1595.3592529296875,29650328701,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841,0.05169900134205818,0.052407000213861465,0.04969700053334236,0.051447998732328415,1084214116
2021-03-26,1595.2100830078125,1702.9228515625,1594.7366943359375,1702.842041015625,22548516548,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978,0.05143300071358681,0.05402800068259239,0.05133099853992462,0.05395200103521347,776280028
2021-03-27,1703.0361328125,1732.8243408203125,1674.3193359375,1716.49462890625,18102277710,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233,0.053939998149871826,0.055435001850128174,0.05352799966931343,0.0543770007789135,753844053
2021-03-28,1716.4056396484375,1728.5841064453125,1672.660400390625,1691.35595703125,16599472938,55974.94140625,56610.3125,55071.11328125,55950.74609375,47686580918,0.054381001740694046,0.05475199967622757,0.05301300063729286,0.05369799956679344,460472975
2021-03-29,1691.26318359375,1837.18798828125,1683.716552734375,1819.6849365234375,22796570548,55947.8984375,58342.09765625,55139.33984375,57750.19921875,57625587027,0.053677998483181,0.05465099960565567,0.05317499861121178,0.054051999002695084,537919140
